10:58:55:337 -> 
10:58:55:337 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:16:136 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:16:336 -> NORMAL (4) || TRANSMIT: 0 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:16:536 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:16:736 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:16:936 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:17:136 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:17:336 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:17:536 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:17:736 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:17:936 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:18:136 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:18:336 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:18:536 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:18:736 -> LANE_CHANGE_RIGHT (8) || TRANSMIT: 8 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)           
10:59:18:936 -> NORMAL (4) || TRANSMIT: 7 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:19:136 -> NORMAL (4) || TRANSMIT: 6 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                      
10:59:19:336 -> CRASH (128) || TRANSMIT: 6 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                     
10:59:19:536 -> CRASH (128) || TRANSMIT: 14 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:19:736 -> CRASH (128) || TRANSMIT: 13 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:19:936 -> CRASH (128) || TRANSMIT: 12 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:20:136 -> CRASH (128) || TRANSMIT: 11 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:20:336 -> CRASH (128) || TRANSMIT: 10 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                    
10:59:20:536 -> CRASH (128) || TRANSMIT: 9 || (0.0000000, 0.0000000, 0.000) || RECEIVING: 0 || (0.0000000, 0.0000000, 0.000)                     
